AÑO,DEPARTAMENTO,DEPARTAMENTO,SEXO,Total personas,"IC+- b/
Total personas","Cve c/
Total personas",TOTAL Hogares,Hogares IC+- b/,Hogares Cve c/,,TOTAL Equipos de cómputo,Equipos de cómputo IC+-,Equipos de cómputo Cve,Equipos de cómputoProporción,,TOTAL Hogares con internet,Hogares con internetIC+-,Hogares con internet Cve,Hogares con internet Proporción,,Total Uso computador portátil en cualquier lugar,"Total IC+-
Usó computador portátil en cualquier lugar","Cve
Usó computador portátil en cualquier lugar","Proporción 
Usó computador portátil en cualquier lugar",,Total Uso computador en cualquier lugar,"Total IC+-
Usó computador en cualquier lugar","Cve
Usó computador en cualquier lugar","Proporción 
Usó computador en cualquier lugar",,Total Usó Internet en cualquier lugar y desde cualquier dispositivo,"IC+- 
Usó Internet en cualquier lugar y desde cualquier dispositivo","CVe
Usó Internet en cualquier lugar y desde cualquier dispositivo","Proporción
Usó Internet en cualquier lugar y desde cualquier dispositivo",,"Total 
Usó teléfono celular en cualquier lugar","IC+- 
Usó teléfono celular en cualquier lugar","CVe
Usó teléfono celular en cualquier lugar","Proporción
Usó teléfono celular en cualquier lugar",,,"TOTAL
Tiene teléfono celular","IC+-
Tiene teléfono celular","Cve
Tiene teléfono celular","Proporción
Tiene teléfono celular",,,"TOTAL
Tiene teléfono celular inteligente (smartphone)","IC+-
Tiene teléfono celular inteligente (smartphone)","Cve
Tiene teléfono celular inteligente (smartphone)","Proporción
Tiene teléfono celular inteligente (smartphone)",,TOTAL Pnas usan computador o internet,Pnas usan computador o internet IC+- b/,Pnas usan computador o internet Cve c/,proporción usan computador,,Usan procesadores texto TOTAL,Usan procesadores texto IC+-,Usan procesadores texto Cve,Usan procesadores texto Proporción,,Usan mails y adjuntos TOTAL,Usan mails y adjuntos IC+-,Usan mails y adjuntos Cve,Usan mails y adjuntos Proporción,,Instala dispositivos TOTAL,Instala dispositivos IC+-,Instala dispositivos Cve,Instala dispositivos Proporción,,Usa formulación hojas cálculo TOTAL,Usa formulación hojas cálculo IC+-,Usa formulación hojas cálculo Cve,Usa formulación hojas cálculo Proporción,,Crea PPTs TOTAL,Crea PPTs IC+-,Crea PPTs Cve,Crea PPTs Proporción,,Usa lenguaje programación TOTAL,Usa lenguaje programación IC+-,Usa lenguaje programación Cve,Usa lenguaje programación Proporción
,,,MUJER,372,46,"6,3",,,,,,,,,,,,,,,45,10,"11,5","12,2",,86,15,"8,8","23,1",,246,34,"7,1","66,1",,344,42,"6,3","92,6",,,291,36,"6,2","78,4",,,240,30,"6,5","82,2",,86,15,"8,8","23,1",,123,19,8,"49,1",,122,19,"7,8","48,8",,62,11,"9,2",25,,55,10,"9,1","22,1",,55,10,9,"22,2",,15,4,"14,3","5,9"
,GUAINÍA,TOTAL,TOTAL,45,3,"3,1",15,1,2,,2,0,10.7,11.6,,3,1,10.1,18.9,,4,1,"8,5","8,8",,10,1,"6,1","21,2",,17,2,"5,8","38,3",,21,2,"4,9","46,8",,,16,2,5,"34,5",,,14,1,"5,3","90,1",,10,1,"6,1","21,2",,12,2,"6,7",63,,8,1,"7,2","40,5",,4,1,"9,6","19,2",,5,1,"8,4","24,2",,6,1,"7,8","29,1",,1,0,"12,7","7,5"
,,,HOMBRE,24,1,"3,2",,,,,,,,,,,,,,,2,0,"9,7","9,3",,5,1,"6,7","22,3",,9,1,"6,1","38,7",,11,1,5,48,,,9,1,"5,2","36,5",,,8,1,"5,6","88,1",,5,1,"6,7","22,3",,6,1,7,"62,7",,4,1,"7,7","40,3",,2,0,"10,3","17,6",,2,0,9,"23,8",,3,0,"8,2","28,5",,1,0,"15,4","6,5"
,,,MUJER,22,1,"3,3",,,,,,,,,,,,,,,2,0,"9,4","8,3",,4,1,"6,9",20,,8,1,"6,1","37,8",,10,1,"5,4","45,5",,,7,1,"5,6","32,4",,,7,1,"5,9","92,6",,4,1,"6,9",20,,6,1,7,"63,5",,4,1,"8,1","40,8",,2,0,"10,5",21,,2,0,"9,2","24,6",,3,0,"8,8","29,7",,1,0,"13,9","8,7"
,,CABECERA,TOTAL,22,3,"6,4",7,1,6,,1,0,11.3,20.0,,3,1,10.7,36.2,,3,1,"10,4","11,7",,5,1,"8,2",22,,12,1,"6,4","53,7",,15,2,"6,2","68,1",,,12,1,6,"57,1",,,11,1,"6,2","92,1",,5,1,"8,2",22,,8,1,"7,8","64,2",,6,1,"8,3","48,2",,3,1,"10,5","26,1",,4,1,"9,8","29,4",,3,1,"10,3","28,9",,1,0,"13,1","11,5"
,,,HOMBRE,11,1,"6,7",,,,,,,,,,,,,,,1,0,"11,6","11,7",,2,0,"8,9","22,4",,6,1,"6,7","53,2",,7,1,"6,5","68,7",,,6,1,"6,5","57,5",,,6,1,"6,6","90,4",,2,0,"8,9","22,4",,4,1,"8,3","63,8",,3,0,9,"47,5",,1,0,"11,1","24,7",,2,0,"10,5","28,9",,2,0,"10,9","28,4",,1,0,"15,8","10,8"
,,,MUJER,11,1,"6,4",,,,,,,,,,,,,,,1,0,"11,1","11,6",,2,0,"8,9","21,6",,6,1,"6,7","54,1",,7,1,"6,4","67,5",,,6,1,"6,3","56,8",,,6,1,"6,4","93,8",,2,0,"8,9","21,6",,4,1,"7,9","64,5",,3,1,"8,7","48,8",,2,0,"11,5","27,4",,2,0,"10,4",30,,2,0,11,"29,3",,1,0,"14,4","12,2"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,24,0,"0,9",8,0,2,,0,0,29.6,4.1,,0,0,33.2,3.5,,1,0,15,"6,3",,5,1,"8,3","20,4",,6,1,"10,8","24,4",,7,1,"9,5","27,6",,,3,1,"12,6","14,1",,,3,1,"14,1","82,8",,5,1,"8,3","20,4",,4,1,"11,4","61,1",,2,1,16,"27,6",,1,0,"24,7","7,5",,1,0,"17,5","15,2",,2,0,"11,5","29,4",,0,0,"44,2","0,7"
,,,HOMBRE,13,0,"1,1",,,,,,,,,,,,,,,1,0,"16,4","7,3",,3,1,"9,2","22,1",,3,1,"10,8","26,8",,4,1,"9,2","30,9",,,2,1,"11,4","19,2",,,2,1,13,"82,4",,3,1,"9,2","22,1",,3,1,"11,4","61,1",,1,0,"15,8","30,1",,0,0,"28,3","7,5",,1,0,"18,2","16,6",,1,0,"12,1","28,7",,0,0,"60,7","0,5"
,,,MUJER,11,0,"1,3",,,,,,,,,,,,,,,1,0,19,"5,1",,2,0,"10,3","18,4",,2,1,12,"21,5",,3,1,"11,2","23,6",,,1,0,"19,6","8,1",,,1,0,"20,9","83,9",,2,0,"10,3","18,4",,2,0,13,"61,3",,1,0,"23,1",24,,0,0,"27,5","7,6",,0,0,"20,7","13,2",,1,0,"14,7","30,6",,0,0,"54,1","1,1"
,GUAVIARE,TOTAL,TOTAL,82,4,"2,5",32,1,2,,6,1,7.5,17.3,,10,1,6.1,30.2,,11,1,"6,5","13,4",,18,2,"5,9","21,4",,45,3,"3,9","54,7",,68,4,"2,7","82,3",,,55,3,"2,9",67,,,49,3,"3,1","88,7",,18,2,"5,9","21,4",,21,2,"5,3","45,8",,19,2,"5,7","40,3",,15,2,6,32,,14,2,"5,9","30,2",,14,2,6,"31,3",,5,1,"8,3","11,8"
,,,HOMBRE,43,2,"2,5",,,,,,,,,,,,,,,5,1,"7,8","11,5",,8,1,"6,7","18,1",,22,2,"4,2",51,,34,2,"2,8","80,1",,,28,2,"3,1","64,1",,,24,2,"3,4","85,3",,8,1,"6,7","18,1",,10,1,"6,1","43,4",,9,1,"6,5","38,8",,7,1,7,31,,7,1,"7,1","29,3",,7,1,"7,2","29,7",,3,1,"9,7",12
,,,MUJER,39,2,"2,8",,,,,,,,,,,,,,,6,1,"6,8","15,5",,10,1,"6,1","25,1",,23,2,4,"58,8",,33,2,"2,9","84,7",,,28,2,3,"70,1",,,25,2,"3,2","92,2",,10,1,"6,1","25,1",,11,1,"5,4","48,1",,10,1,"5,8","41,7",,8,1,"6,1",33,,7,1,6,31,,8,1,"6,2","32,9",,3,1,"9,4","11,6"
,,CABECERA,TOTAL,47,5,"5,9",18,2,6,,5,1,8.3,27.4,,7,1,8.1,40.5,,9,1,"8,1","18,6",,14,2,"7,4",30,,31,4,"6,5","66,2",,41,5,6,"86,8",,,35,4,"5,7","74,6",,,33,4,"5,8","92,4",,14,2,"7,4",30,,17,2,7,"52,6",,15,2,"7,2","46,9",,12,2,"7,5",38,,11,2,"7,4","35,3",,12,2,"7,3","37,5",,4,1,"9,8","14,1"
,,,HOMBRE,23,3,"6,2",,,,,,,,,,,,,,,4,1,"9,4","16,8",,6,1,"8,2","26,8",,15,2,"6,9","64,7",,20,2,"6,4","85,7",,,17,2,"6,1","71,8",,,15,2,"6,2","91,8",,6,1,"8,2","26,8",,8,1,"7,7","50,9",,7,1,"8,2","45,5",,6,1,"8,5","37,4",,5,1,"8,6","35,2",,5,1,"8,6","35,9",,2,0,"11,2","14,5"
,,,MUJER,24,3,"5,9",,,,,,,,,,,,,,,5,1,"8,3","20,4",,8,1,"7,6","33,1",,16,2,"6,5","67,6",,21,2,"5,9","87,9",,,19,2,"5,7","77,3",,,17,2,"5,8","92,9",,8,1,"7,6","33,1",,9,1,"7,1","54,1",,8,1,"7,2","48,2",,6,1,"7,6","38,6",,6,1,"7,6","35,4",,6,1,"7,4","39,1",,2,0,"11,1","13,8"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,35,3,"4,5",14,1,5,,1,0,20.7,4.3,,2,1,12.1,17.1,,2,1,"13,4","6,3",,3,1,"11,6","9,9",,14,2,"7,1","39,2",,27,3,5,"76,2",,,20,2,"5,4","56,7",,,16,2,"5,8","82,3",,3,1,"11,6","9,9",,4,1,"10,2","30,7",,4,1,"11,5","25,5",,3,1,"11,9","18,6",,3,1,"11,7","18,7",,2,1,"12,6","17,4",,1,0,"19,1","6,5"
,,,HOMBRE,20,2,"4,3",,,,,,,,,,,,,,,1,0,17,"5,2",,2,0,"14,1",8,,7,1,"7,3","34,9",,15,1,5,"73,6",,,11,1,"5,5","55,1",,,8,1,"6,1","75,3",,2,0,"14,1",8,,2,0,"12,5","27,2",,2,0,13,"24,3",,1,0,"14,1","17,2",,1,0,"14,9","16,5",,1,0,"14,9","16,3",,0,0,"22,7","6,6"
,,,MUJER,15,2,"5,1",,,,,,,,,,,,,,,1,0,"15,8","7,7",,2,0,"12,2","12,4",,7,1,"7,5","44,9",,12,1,"5,4","79,6",,,9,1,"5,9","58,9",,,8,1,"6,2","90,8",,2,0,"12,2","12,4",,2,0,"10,5","34,1",,2,0,"12,3","26,6",,1,0,"13,2","19,9",,1,0,"12,6","20,8",,1,0,"14,5","18,5",,0,0,"20,1","6,4"
,HUILA,TOTAL,TOTAL,1048,37,"1,8",374,12,2,,90,11,6.0,24.1,,210,12,2.8,56.0,,173,20,6,"16,5",,285,26,"4,7","27,2",,768,31,2,"73,2",,948,33,"1,8","90,4",,,772,28,"1,9","73,7",,,672,28,"2,1",87,,285,26,"4,7","27,2",,412,27,"3,4","53,3",,309,24,4,40,,260,20,4,"33,7",,197,19,5,"25,6",,201,20,5,26,,51,11,11,"6,6"
,,,HOMBRE,521,19,"1,9",,,,,,,,,,,,,,,85,11,"6,7","16,3",,141,14,"5,1",27,,374,16,"2,2","71,7",,466,17,"1,8","89,5",,,380,15,2,"72,9",,,326,15,"2,3","85,7",,141,14,"5,1",27,,196,15,"3,8","52,2",,147,14,"4,8","39,2",,127,12,"4,8","33,8",,94,12,"6,3",25,,94,12,"6,4","25,1",,27,7,"12,9","7,2"
,,,MUJER,527,20,"1,9",,,,,,,,,,,,,,,87,12,"6,8","16,6",,144,15,"5,2","27,4",,394,17,"2,3","74,7",,481,19,2,"91,3",,,392,15,2,"74,4",,,346,15,"2,3","88,3",,144,15,"5,2","27,4",,215,16,"3,8","54,3",,162,13,"4,1","40,8",,133,11,"4,2","33,6",,104,10,"4,9","26,1",,107,11,"5,2","26,9",,24,5,"11,4","6,1"
,,CABECERA,TOTAL,636,59,"4,7",232,20,4,,76,11,7.4,32.8,,131,15,5.8,56.3,,132,21,"8,1","20,7",,216,28,"6,7","33,9",,483,46,"4,9","75,8",,574,53,"4,7","90,2",,,484,44,"4,7",76,,,437,41,"4,8","90,3",,216,28,"6,7","33,9",,310,32,"5,3","63,8",,231,28,"6,2","47,4",,192,24,"6,4","39,6",,153,21,"7,2","31,4",,155,22,"7,2","31,9",,45,11,"12,6","9,3"
,,,HOMBRE,306,30,"5,1",,,,,,,,,,,,,,,65,11,"8,8","21,3",,106,15,"7,2","34,8",,230,24,"5,2","75,1",,272,27,5,89,,,229,23,"5,1","74,8",,,206,21,"5,2","89,9",,106,15,"7,2","34,8",,148,17,"5,8","63,9",,111,15,"7,1",48,,94,13,"7,3","40,8",,75,12,"8,4","32,5",,75,13,"8,6","32,3",,25,7,"14,1","10,7"
,,,MUJER,331,30,"4,7",,,,,,,,,,,,,,,67,12,9,"20,2",,109,15,"7,2",33,,253,25,5,"76,5",,302,28,"4,7","91,3",,,255,23,"4,6","77,2",,,231,22,"4,8","90,6",,109,15,"7,2",33,,162,18,"5,6","63,7",,120,15,"6,3","46,9",,98,12,"6,5","38,4",,78,11,"7,2","30,5",,80,12,"7,5","31,5",,21,5,"13,6","8,1"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,412,44,"5,5",142,15,5,,14,3,12.1,10.0,,79,10,6.3,55.5,,41,8,"9,6","9,9",,70,11,"8,1","16,9",,285,32,"5,8","69,2",,374,40,"5,5","90,8",,,288,32,"5,6",70,,,235,27,"5,8","81,5",,70,11,"8,1","16,9",,101,15,"7,4","35,4",,78,12,"7,8","27,4",,68,11,"8,3","23,7",,45,8,"9,5","15,6",,46,8,"9,3",16,,6,2,19,2
,,,HOMBRE,216,23,"5,4",,,,,,,,,,,,,,,20,5,"11,8","9,3",,34,6,"9,4","15,9",,144,17,6,"66,9",,194,21,"5,4","90,2",,,151,16,"5,5","70,2",,,120,14,"5,9","79,4",,34,6,"9,4","15,9",,48,8,"8,5","33,4",,36,7,"9,4",25,,33,6,"9,3","22,6",,19,4,"11,6","13,1",,20,5,12,"13,7",,2,1,"27,1","1,5"
,,,MUJER,196,22,"5,8",,,,,,,,,,,,,,,21,4,"10,1","10,6",,35,6,"8,7",18,,141,17,"6,1","71,8",,179,20,"5,8","91,4",,,137,16,6,"69,7",,,115,14,"6,3","83,9",,35,6,"8,7",18,,53,8,"7,4","37,5",,42,7,"7,9","29,8",,35,6,9,"24,8",,26,5,"9,4","18,2",,26,5,9,"18,4",,4,1,"18,9","2,5"
,LA GUAJIRA,TOTAL,TOTAL,898,23,"1,3",307,8,1,,37,7,9.2,12.2,,87,10,5.7,28.3,,104,13,"6,6","11,5",,200,20,"5,1","22,3",,439,31,"3,6","48,8",,668,25,"1,9","74,4",,,443,22,"2,6","49,3",,,328,25,"3,9","74,1",,200,20,"5,1","22,3",,250,24,5,"56,1",,253,25,5,"56,7",,127,15,"6,1","28,5",,117,13,"5,8","26,1",,109,13,"6,2","24,4",,36,7,10,"8,1"
,,,HOMBRE,436,12,"1,4",,,,,,,,,,,,,,,50,7,"7,5","11,5",,93,10,"5,5","21,3",,211,16,"3,8","48,3",,322,13,"2,1","73,7",,,218,11,"2,7","49,9",,,154,13,"4,3",71,,93,10,"5,5","21,3",,119,13,"5,4","55,5",,117,13,"5,5","54,5",,63,9,"7,3","29,4",,53,8,"7,2","24,9",,51,7,"7,3","23,7",,20,4,"11,7","9,1"
,,,MUJER,462,13,"1,4",,,,,,,,,,,,,,,54,7,7,"11,6",,107,12,"5,6","23,2",,228,17,"3,7","49,3",,347,14,"2,1",75,,,226,13,"2,9","48,8",,,174,14,4,"77,1",,107,12,"5,6","23,2",,131,13,"5,2","56,6",,137,14,"5,2","58,9",,64,8,"6,3","27,6",,63,8,"6,2","27,3",,58,8,"6,9","25,1",,17,4,"11,1","7,2"
,,CABECERA,TOTAL,451,59,"6,6",153,20,7,,33,7,10.3,21.9,,66,11,8.5,43.2,,83,14,"8,6","18,3",,150,22,"7,5","33,3",,316,41,"6,7","70,1",,387,50,"6,6","85,8",,,291,38,"6,7","64,5",,,244,33,7,"83,8",,150,22,"7,5","33,3",,180,29,"8,3","56,6",,188,30,"8,2","59,3",,106,16,"7,7","33,5",,89,15,"8,6","27,9",,88,14,"8,2","27,9",,33,7,"10,8","10,5"
,,,HOMBRE,216,29,"6,9",,,,,,,,,,,,,,,40,7,"9,3","18,8",,70,10,"7,7","32,3",,150,21,7,"69,3",,184,25,"6,9","85,4",,,138,19,"7,1","63,8",,,112,16,"7,5","81,8",,70,10,"7,7","32,3",,85,15,"8,8","56,4",,86,15,"8,8","57,6",,54,9,"8,7","36,2",,42,8,"9,6","28,1",,43,8,"8,9","28,7",,18,4,"12,6",12
,,,MUJER,236,30,"6,6",,,,,,,,,,,,,,,42,7,"9,1","17,9",,80,13,"8,2","34,1",,167,22,"6,7","70,7",,203,27,"6,7","86,1",,,153,20,"6,6","65,1",,,131,18,"6,9","85,6",,80,13,"8,2","34,1",,95,16,"8,5","56,8",,102,17,"8,3","60,9",,52,8,"7,9",31,,46,8,"9,1","27,8",,45,8,"8,9","27,2",,16,4,"11,8","9,3"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,447,52,"5,9",154,17,6,,4,2,25.1,2.6,,21,5,12.7,13.4,,21,6,"13,9","4,8",,50,12,"11,9","11,2",,123,25,"10,2","27,4",,282,38,"6,9","62,9",,,152,24,8,34,,,84,17,"10,1","55,5",,50,12,"11,9","11,2",,71,16,"11,8","54,7",,65,15,"12,1","50,4",,21,6,15,"16,2",,28,7,"13,1","21,7",,20,6,"14,3","15,8",,3,2,"30,9","2,1"
,,,HOMBRE,221,26,"6,1",,,,,,,,,,,,,,,10,3,"15,8","4,4",,23,6,"12,9","10,6",,61,13,"10,7","27,7",,137,20,"7,3","62,3",,,80,13,"8,2","36,3",,,42,9,"10,7","52,4",,23,6,"12,9","10,6",,34,9,"12,8","53,5",,30,8,"12,9","47,2",,9,3,"17,2","13,5",,11,3,"15,4","17,3",,8,2,"16,4","11,9",,2,1,"34,4","2,5"
,,,MUJER,227,27,6,,,,,,,,,,,,,,,12,3,"14,6","5,1",,27,7,"12,6","11,9",,62,13,"10,4","27,1",,144,20,7,"63,5",,,72,12,"8,4","31,8",,,43,9,"10,3","58,9",,27,7,"12,6","11,9",,36,8,"11,7",56,,35,8,"12,2","53,5",,12,4,"16,4",19,,17,5,"13,7","26,1",,13,4,"16,1","19,7",,1,1,"35,1","1,7"
,MAGDALENA,TOTAL,TOTAL,1345,41,"1,6",422,13,2,,70,14,10.3,16.5,,210,16,3.9,49.7,,145,26,"9,3","10,8",,304,37,"6,2","22,6",,851,43,"2,6","63,3",,1139,39,"1,8","84,7",,,818,35,"2,2","60,8",,,674,36,"2,7","82,4",,304,37,"6,2","22,6",,479,38,"4,1","55,4",,353,34,"4,9","40,9",,213,29,"7,1","24,7",,179,25,"7,1","20,8",,180,24,"6,7","20,8",,58,16,14,"6,7"
,,,HOMBRE,671,22,"1,7",,,,,,,,,,,,,,,68,14,"10,8","10,1",,152,20,"6,7","22,6",,407,24,3,"60,6",,558,21,"1,9","83,2",,,390,19,"2,5","58,2",,,310,21,"3,4","79,5",,152,20,"6,7","22,6",,229,21,"4,7","55,4",,164,19,"5,9","39,7",,107,17,"8,4","25,8",,89,15,"8,6","21,5",,87,14,"8,2","21,1",,32,9,"14,2","7,8"
,,,MUJER,674,22,"1,6",,,,,,,,,,,,,,,77,14,"9,1","11,4",,152,20,"6,6","22,6",,445,22,"2,6","65,9",,581,21,"1,9","86,2",,,427,19,"2,2","63,3",,,363,19,"2,7",85,,152,20,"6,6","22,6",,250,20,"4,1","55,5",,189,18,"4,8","42,1",,106,14,"6,7","23,6",,91,13,"7,1","20,1",,93,11,"6,3","20,6",,26,8,"16,2","5,8"
,,CABECERA,TOTAL,931,77,"4,2",296,25,4,,64,14,11.2,21.6,,163,20,6.4,55.2,,125,26,"10,8","13,5",,261,38,"7,5",28,,649,62,"4,9","69,7",,816,70,"4,4","87,7",,,619,51,"4,2","66,4",,,536,47,"4,5","86,6",,261,38,"7,5",28,,388,42,"5,6",59,,297,36,"6,2","45,1",,187,30,"8,2","28,4",,158,26,"8,3","24,1",,162,24,"7,6","24,6",,55,16,"14,8","8,3"
,,,HOMBRE,454,40,"4,5",,,,,,,,,,,,,,,59,14,"12,3","13,1",,130,21,"8,1","28,7",,309,32,"5,3","68,1",,391,36,"4,7","86,1",,,291,26,"4,6","64,2",,,249,25,"5,2","85,6",,130,21,"8,1","28,7",,185,23,"6,3","58,9",,138,19,"7,2","43,8",,95,18,"9,5","30,1",,79,15,"9,8",25,,78,14,"9,2","24,8",,31,9,"14,7","9,8"
,,,MUJER,477,38,"4,1",,,,,,,,,,,,,,,66,14,"10,6","13,8",,130,20,"7,9","27,3",,340,32,"4,8","71,2",,425,36,"4,3","89,2",,,327,27,"4,2","68,6",,,287,25,"4,4","87,6",,130,20,"7,9","27,3",,203,22,"5,6",59,,159,19,"6,1","46,3",,92,14,"7,9","26,8",,80,13,"8,2","23,2",,84,12,"7,1","24,4",,24,8,"17,4",7
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,414,59,"7,3",126,17,7,,6,2,20.6,4.6,,46,9,9.3,36.9,,19,6,"15,8","4,6",,43,10,"11,7","10,5",,202,33,"8,4","48,9",,323,48,"7,6",78,,,199,31,8,48,,,137,23,"8,7","69,2",,43,10,"11,7","10,5",,90,17,"9,8","44,2",,56,11,"9,5","27,6",,26,7,"14,2","12,7",,21,6,15,"10,3",,18,6,"16,1","8,7",,3,1,"21,4","1,6"
,,,HOMBRE,216,32,"7,5",,,,,,,,,,,,,,,8,3,"19,2","3,8",,21,6,"13,8","9,9",,97,17,"9,1",45,,167,25,"7,8","77,1",,,99,16,"8,4","45,7",,,61,12,"9,8","61,6",,21,6,"13,8","9,9",,43,9,"10,9","43,9",,26,6,"12,5","26,7",,12,4,"17,6",12,,10,4,21,"10,3",,9,4,"21,3","9,2",,1,1,"37,2","1,3"
,,,MUJER,197,28,"7,4",,,,,,,,,,,,,,,11,4,"16,7","5,5",,22,5,"12,7","11,1",,105,17,"8,4","53,2",,156,24,"7,8","78,9",,,100,16,"8,2","50,6",,,77,13,"8,9","76,7",,22,5,"12,7","11,1",,47,9,10,"44,4",,30,5,9,"28,3",,14,4,"14,3","13,4",,11,3,"16,1","10,3",,9,3,"16,2","8,3",,2,1,"31,8","1,8"
,META,TOTAL,TOTAL,1003,54,"2,7",378,20,3,,110,14,6.7,29.0,,229,17,3.7,60.5,,180,24,"6,8","17,9",,301,32,"5,5",30,,828,48,3,"82,6",,933,51,"2,8",93,,,785,44,"2,9","78,2",,,719,42,"2,9","91,6",,301,32,"5,5",30,,418,37,"4,5","50,3",,418,35,"4,2","50,2",,315,30,"4,9","37,9",,271,29,"5,4","32,6",,261,28,"5,5","31,4",,114,17,"7,7","13,6"
,,,HOMBRE,503,27,"2,8",,,,,,,,,,,,,,,91,13,"7,6","18,1",,147,18,"6,1","29,2",,409,24,3,"81,3",,465,26,"2,9","92,5",,,387,22,"2,9","76,9",,,349,21,"3,1","90,2",,147,18,"6,1","29,2",,206,20,"4,9","50,2",,200,18,"4,7","48,7",,152,16,"5,3","37,1",,130,15,"5,9","31,6",,127,15,6,"30,8",,59,10,"8,6","14,3"
,,,MUJER,500,29,3,,,,,,,,,,,,,,,89,12,"7,1","17,8",,155,17,"5,6","30,9",,419,26,"3,2","83,8",,468,28,3,"93,6",,,398,24,"3,1","79,6",,,370,23,"3,1","93,1",,155,17,"5,6","30,9",,212,20,"4,9","50,4",,217,19,"4,5","51,7",,163,17,"5,4","38,7",,141,17,6,"33,5",,134,16,6,"31,9",,55,9,"8,5",13
,,CABECERA,TOTAL,768,66,"4,4",294,25,4,,100,15,7.6,34.0,,192,19,5.0,65.2,,155,25,"8,1","20,2",,261,34,"6,6","34,1",,659,58,"4,5","85,9",,724,62,"4,4","94,3",,,619,53,"4,4","80,6",,,576,50,"4,4","93,2",,261,34,"6,6","34,1",,363,39,"5,5","54,8",,358,37,"5,3",54,,280,32,"5,8","42,3",,245,30,"6,2","37,1",,238,29,"6,2",36,,105,17,"8,4","15,9"
,,,HOMBRE,373,34,"4,6",,,,,,,,,,,,,,,78,14,9,"20,9",,125,18,"7,4","33,5",,317,29,"4,7",85,,349,32,"4,6","93,7",,,295,27,"4,7",79,,,272,26,"4,8","92,2",,125,18,"7,4","33,5",,177,21,6,"55,6",,169,19,"5,9","53,1",,134,17,"6,3",42,,116,15,"6,8","36,5",,114,15,"6,8","35,9",,54,10,"9,5",17
,,,MUJER,395,35,"4,5",,,,,,,,,,,,,,,77,13,"8,3","19,5",,137,18,"6,7","34,6",,343,31,"4,6","86,7",,375,33,"4,5","94,9",,,324,28,"4,4","82,1",,,305,26,"4,4",94,,137,18,"6,7","34,6",,186,22,"5,9","54,1",,189,21,"5,6","54,9",,146,18,"6,3","42,5",,130,17,"6,7","37,7",,124,16,"6,6","36,1",,51,9,"9,2","14,9"
,,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,235,31,"6,7",84,10,6,,10,2,12.9,11.4,,37,6,7.6,44.2,,25,6,"11,8","10,5",,40,8,"10,6","16,9",,169,23,7,"71,7",,209,28,"6,8","88,8",,,166,22,"6,8","70,6",,,143,20,"7,1",86,,40,8,"10,6","16,9",,56,10,"9,4","32,8",,60,11,"9,4","35,2",,35,7,"10,5","20,8",,26,6,"11,4",15,,23,5,"11,8","13,4",,8,2,"14,6",5
,,,HOMBRE,130,17,"6,7",,,,,,,,,,,,,,,13,3,"13,3","9,9",,22,5,12,"16,7",,92,13,7,71,,116,15,"6,7","88,9",,,92,12,"6,8","70,9",,,77,11,"7,1","83,6",,22,5,12,"16,7",,30,6,"9,8","31,7",,31,6,"10,2","33,5",,19,4,"11,6","20,1",,14,4,"13,1","15,1",,13,3,"13,7","13,6",,5,2,17,"5,1"
,,,MUJER,105,15,"7,2",,,,,,,,,,,,,,,12,3,"12,5","11,3",,18,4,11,"17,2",,76,11,"7,5","72,7",,93,13,"7,3","88,6",,,74,11,"7,4","70,2",,,66,10,"7,5","88,9",,18,4,11,"17,2",,26,5,"10,2","34,2",,29,5,"9,7","37,3",,17,4,"11,3","21,6",,11,3,12,"14,9",,10,2,"12,5","13,1",,4,1,"16,3","4,8"
,NARIÑO,TOTAL,TOTAL,1516,43,"1,4",588,15,1,,129,14,5.6,21.9,,312,19,3.2,53.0,,214,27,"6,5","14,1",,402,35,"4,4","26,5",,936,46,"2,5","61,7",,1335,41,"1,6","88,1",,,1093,38,"1,8","72,1",,,865,37,"2,2","79,2",,402,35,"4,4","26,5",,479,36,"3,9","50,9",,436,32,"3,8","46,4",,315,30,"4,8","33,5",,281,29,"5,2","29,9",,266,27,"5,3","28,3",,64,16,"12,9","6,8"
,,,HOMBRE,735,22,"1,5",,,,,,,,,,,,,,,104,15,"7,1","14,2",,197,19,5,"26,8",,464,24,"2,7","63,2",,642,22,"1,8","87,4",,,535,20,"1,9","72,9",,,422,20,"2,4","78,9",,197,19,5,"26,8",,234,19,"4,2","50,1",,214,18,"4,3","45,8",,159,17,"5,3","34,1",,138,17,"6,1","29,5",,128,15,"6,2","27,5",,38,10,"12,9","8,1"
,,,MUJER,781,23,"1,5",,,,,,,,,,,,,,,110,15,7,"14,1",,205,18,"4,6","26,2",,471,25,"2,7","60,3",,693,23,"1,7","88,7",,,557,22,2,"71,4",,,443,21,"2,4","79,5",,205,18,"4,6","26,2",,245,20,"4,2","51,7",,222,18,4,"46,9",,156,16,"5,2","32,9",,144,15,"5,4","30,4",,137,15,"5,5",29,,26,8,"16,4","5,4"
